sample_id,fast5_archive,protocol,assembly,provider,upstream_file,downstream_file
SGNex_A549_cDNA_replicate1_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_cDNA_replicate1_run2/SGNex_A549_cDNA_replicate1_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_cDNA_replicate1_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_cDNA_replicate1_run2/SGNex_A549_cDNA_replicate1_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_cDNAStranded_replicate3_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_cDNAStranded_replicate3_run3/SGNex_A549_cDNAStranded_replicate3_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_cDNAStranded_replicate5_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_cDNAStranded_replicate5_run2/SGNex_A549_cDNAStranded_replicate5_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_directcDNA_replicate1_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_directcDNA_replicate1_run3/SGNex_A549_directcDNA_replicate1_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_directcDNA_replicate2_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_directcDNA_replicate2_run1/SGNex_A549_directcDNA_replicate2_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_directcDNA_replicate3_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_directcDNA_replicate3_run1/SGNex_A549_directcDNA_replicate3_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_directcDNA_replicate3_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_directcDNA_replicate3_run2/SGNex_A549_directcDNA_replicate3_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_directcDNA_replicate5_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_directcDNA_replicate5_run3/SGNex_A549_directcDNA_replicate5_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_A549_directRNA_replicate1_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_A549_directRNA_replicate1_run1/SGNex_A549_directRNA_replicate1_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
